cast,revenue,popularity,vote_average,name
1686,60222298,21.118196,6.7,Ewan McGregor
1686,35078241,8.386432,6.3,Ewan McGregor
1686,33372606,26.257951,5.6,Ewan McGregor
1686,30418560,52.417529,5.4,Ewan McGregor
1686,23937870,16.282962,5.1,Ewan McGregor
1686,19478106,14.051852,5.2,Ewan McGregor
1686,16491080,63.513324,7.8,Ewan McGregor
1686,10652035,19.664699,6.4,Ewan McGregor
1686,9930095,10.547959,6.0,Ewan McGregor
1686,5332926,11.933449,6.8,Ewan McGregor
1686,1397284,15.333575,5.4,Ewan McGregor
1686,1053788,10.932711,6.9,Ewan McGregor
1686,0,4.302941,5.3,Ewan McGregor
1686,0,4.647547,6.6,Ewan McGregor
